"","param","lowerCI","upperCI","percent"
"1","B.change.actvsham",-0.0178087110942085,0.114367700080434,0.926
"2","B.change.anvsham",0.00793314685304132,0.162235853328391,0.986
"3","B.change.cathvsham",-0.062946108207914,0.0929441218777762,0.66
"4","mean_v.change.actvsham.diff",-0.417992192316013,0.0667686354638651,0.082
"5","mean_v.change.actvsham.false",-0.105429799557363,0.370242641293412,0.859
"6","mean_v.change.actvsham.sum",-0.197570752469499,0.375622562270867,0.723
"7","mean_v.change.actvsham.true",-0.167190410365439,0.0863938927792166,0.27
"8","mean_v.change.anvsham.diff",-0.449408977811946,0.169509225965274,0.144
"9","mean_v.change.anvsham.false",-0.143107057902116,0.465857727705449,0.856
"10","mean_v.change.anvsham.sum",-0.183195002947918,0.535845813257406,0.82
"11","mean_v.change.anvsham.true",-0.133462528661208,0.150805066355968,0.562
"12","mean_v.change.cathvsham.diff",-0.441489325609316,0.0634577384092697,0.07
"13","mean_v.change.cathvsham.false",-0.436030919508579,0.096249159118873,0.12
"14","mean_v.change.cathvsham.sum",-0.305003916914687,0.328895926578877,0.497
"15","mean_v.change.cathvsham.true",-0.230227119065015,0.0448836089114749,0.1
