A,B.pre.anodal,B.dpost.anodal,B.pre.cathodal,B.dpost.cathodal,B.pre.sham,B.dpost.sham,mean_v.pre.anodal.true,mean_v.dpost.anodal.true,mean_v.pre.cathodal.true,mean_v.dpost.cathodal.true,mean_v.pre.sham.true,mean_v.dpost.sham.true,sd_v.pre.anodal,sd_v.dpost.anodal,sd_v.pre.cathodal,sd_v.dpost.cathodal,sd_v.pre.sham,sd_v.dpost.sham,t0.pre.anodal,t0.dpost.anodal,t0.pre.cathodal,t0.dpost.cathodal,t0.pre.sham,t0.dpost.sham,subject
8.02,9.272,10.982,10.288,7.844,7.003,8.201,19.23,25.474,15.893,12.671,15.441,18.296,4.539,5.134,4.376,2.801,3.646,4.723,0.122,0.177,0.115,0.116,0.105,0.143,1
11.509,8.671,10.617,9.296,11.525,7.234,8.289,17.184,21.797,20.27,29.431,13.273,14.977,4.375,5.996,4.912,5.812,3.308,3.725,0.071,0.104,0.089,0.196,0.078,0.073,2
5.835,7.432,7.777,10.532,7.778,6.393,5.633,16.218,14.881,16.598,15.622,14.851,18.699,4.964,5.871,4.448,4.909,4.146,5.348,0.115,0.084,0.097,0.183,0.162,0.263,3
6.069,9.184,8.579,11.403,8.501,8.421,8.7,19.785,27.203,13.78,11.956,13.77,18.29,4.449,5.68,4.108,3.046,3.545,4.778,0.215,0.373,0.088,0.113,0.086,0.156,6
4.963,9.312,12.635,7.091,4.052,5.635,5.881,14.46,16.185,20.308,19.015,15.364,19.055,4.475,5.387,5.237,5.081,4.018,4.941,0.081,0.079,0.228,0.307,0.151,0.244,7
5.08,10.118,11.009,10.127,5.821,8.023,9.808,19.837,23.435,14.719,9.916,16.752,21.419,4.434,4.332,4.625,2.348,3.563,4.192,0.114,0.103,0.07,0.073,0.121,0.17,8
5.862,9.66,11.788,10.018,8.429,9.145,10.167,16.303,23.404,19.48,22.166,12.865,17.219,4.546,4.666,4.572,4.63,3.324,4.412,0.101,0.101,0.137,0.219,0.127,0.14,9
3.631,8.007,3.929,10.575,8.679,7.166,8.665,19.132,20.552,15.406,13.488,16.147,21.633,4.726,6.61,4.624,3.954,3.513,3.994,0.148,0.317,0.069,0.065,0.08,0.131,10
6.702,6.767,8.982,9.823,9.092,8.332,9.929,16.599,20.082,17.701,17.188,14.681,16.615,5.06,6.212,4.714,4.918,3.46,4.522,0.174,0.153,0.101,0.128,0.09,0.098,11
5.736,10.236,12.51,10.384,10.449,8.7,11.581,16.238,20.34,18.858,17.661,13.926,17.281,4.396,5.118,4.485,4.348,3.519,4.103,0.124,0.099,0.159,0.119,0.203,0.141,13
4.752,8.843,11.257,10.298,6.789,8.586,9.507,20.594,23.934,16.878,19.458,15.463,19.055,4.517,4.833,4.231,4.757,3.354,4.149,0.232,0.181,0.074,0.214,0.12,0.086,14
5.633,7.52,10.301,9.804,8.315,4.97,7.667,18.77,23.739,14.221,13.974,12.339,18.369,4.825,6.057,4.79,4.225,4.439,5.031,0.172,0.151,0.064,0.062,0.13,0.181,15
4.945,11.395,12.965,10.833,7.955,7.171,8.756,15.785,21.064,17.672,17.367,15.25,19.475,4.25,4.586,4.417,4.432,3.872,4.426,0.102,0.119,0.09,0.176,0.168,0.166,16
5.721,4.394,7.332,8.734,7.559,5.919,6.517,16.911,23.906,15.386,13.377,13.204,17.124,5.442,5.581,5.242,4.259,4.259,5.03,0.237,0.195,0.098,0.082,0.09,0.11,17
8.639,8.767,10.22,10.09,8.742,5.409,7.358,19.108,23.567,20.93,23.786,9.437,14.98,4.197,5.712,4.833,6.067,3.723,5.234,0.079,0.159,0.128,0.224,0.058,0.104,18
6.097,8.562,9.979,10.904,8.608,7.925,9.173,17.13,22.629,15.327,12.892,14.165,18.861,4.832,6.11,4.344,3.735,3.721,4.7,0.185,0.273,0.094,0.098,0.139,0.175,19
5.541,9.346,11.464,10.409,5.791,8.329,10.511,20.609,25.569,21.749,24.326,12.383,17.306,4.042,4.121,4.104,5.425,3.358,4.164,0.128,0.131,0.128,0.299,0.067,0.086,20
6.181,11.185,12.394,10.636,10.602,8.79,10.401,13.679,18.443,18.43,18.529,15.614,23.152,4.124,4.737,4.281,4.26,3.449,3.46,0.087,0.073,0.116,0.142,0.105,0.165,21
6.779,7.478,9.411,8.236,9.15,7.412,7.557,20.689,24.514,22.965,25.624,13.86,16.277,4.676,5.733,4.651,4.554,3.475,4.13,0.075,0.094,0.081,0.082,0.065,0.063,22
3.448,10.982,12.145,8.898,4.587,7.047,7.01,16.202,20.429,18.471,17.405,14.485,16.713,4.442,5.193,4.946,4.925,4.016,5.021,0.127,0.144,0.13,0.303,0.157,0.17,23
7.762,8.924,10.788,9.176,5.961,7.509,9.062,20.674,25.528,16.96,10.887,14.446,19.776,4.459,5.101,4.745,2.992,3.68,4.603,0.092,0.083,0.069,0.102,0.092,0.106,24
9.654,9.131,12.238,9.401,9.246,7.387,7.402,14.666,16.998,19.38,21.731,13.834,19.171,4.304,4.903,4.959,5.155,3.582,4.971,0.091,0.103,0.134,0.214,0.117,0.258,25
4.227,9.833,12.022,11.034,6.865,7.595,9.632,20.947,23.96,18.797,17.654,14.041,19.231,4.044,4.078,3.998,4.244,3.815,3.869,0.246,0.147,0.146,0.268,0.127,0.106,26
2.938,4.793,7.193,10.138,9.415,8.041,8.26,18.795,23.389,16.592,16.445,16.304,21.909,4.781,5.364,4.502,4.199,3.293,3.863,0.315,0.269,0.107,0.111,0.143,0.234,28
7.013,9.817,12.529,10,10.928,8.54,11.376,17.175,19.896,20.612,25.873,13.578,15.033,4.063,4.866,4.395,4.807,3.388,4.218,0.15,0.148,0.165,0.262,0.149,0.128,29
5.028,9.181,10.946,9.399,7.203,7.833,9.254,16.075,20.497,18.553,21.571,15.847,19.331,4.31,5.458,4.833,4.754,3.63,4.646,0.065,0.068,0.073,0.205,0.156,0.181,30
11.575,7.948,9.866,9.876,9.847,6.382,7.876,16.053,19.4,19.305,21.604,13.216,14.714,4.539,6.05,4.82,5.528,3.995,4.29,0.082,0.191,0.14,0.157,0.103,0.077,31
5.628,11.343,13.45,11.19,10.543,8.692,9.093,16.245,19.87,17.713,17.41,15.623,20.114,4.202,4.585,4.09,4.34,2.993,4.538,0.117,0.12,0.091,0.18,0.146,0.267,32
9.563,10.583,12.828,11.214,3.266,8.584,10.229,20.184,21.287,14.888,7.048,15.36,17.789,4.174,5.011,4.07,0.823,3.614,4.219,0.161,0.124,0.099,0.118,0.14,0.163,33
7.477,9.382,10.621,8.501,8.402,7.193,8.704,16.209,20.153,22.493,25.039,16.838,21.364,4.182,5.493,4.47,3.615,3.42,4.283,0.067,0.078,0.073,0.119,0.084,0.093,34
5.963,9.836,11.575,9.538,6.417,7.492,8.933,20.17,24.269,15.455,12.474,15.537,20.558,4.196,5.111,4.772,4.293,3.455,4.385,0.096,0.144,0.078,0.142,0.092,0.153,35
8.044,7.193,8.441,8.13,7.75,7.134,8.223,16.881,20.209,19.52,20.955,13.746,15.117,4.69,5.898,5.454,6.073,3.967,4.376,0.103,0.115,0.145,0.159,0.092,0.066,36
7.934,10.217,10.605,10.25,7.378,7.496,6.368,15.767,19.231,15.384,11.132,15.695,19.424,4.349,5.871,4.614,3.138,3.799,5.154,0.083,0.139,0.123,0.098,0.141,0.255,37
7.949,7.05,8.192,8.661,5.582,7.129,9.063,18.031,22.441,20.886,22.771,13.789,16.621,4.724,5.609,4.846,5.874,3.752,4.233,0.156,0.159,0.142,0.281,0.11,0.071,38
4.133,11.369,13.358,10.683,9.601,7.698,8.718,15.066,17.951,19.279,20.906,17.269,22.502,4.148,4.604,4.036,3.536,3.233,4.109,0.079,0.08,0.107,0.187,0.143,0.198,39
5.415,6.446,8.361,8.498,6.587,7.993,9.88,16.789,22.472,18.659,21.99,12.606,15.681,5.072,5.564,5.225,6.076,3.582,4.43,0.179,0.19,0.206,0.375,0.101,0.108,40
5.712,9.288,10.787,9.313,6.602,7.245,4.019,15.748,18.973,19.465,18.667,17.83,17.087,4.281,5.457,4.781,4.718,3.663,5.38,0.066,0.115,0.098,0.172,0.083,0.242,41
4.403,8.411,9.996,9.964,8.258,7.43,9.199,22.096,26.294,14.309,12.354,14.953,19.492,4.057,4.829,4.735,3.66,3.715,4.547,0.17,0.164,0.063,0.08,0.082,0.116,42
14.29,10.154,10.591,10.752,10.766,8.571,9.715,15.215,17.057,20.973,25.883,15.51,18.38,3.393,3.799,3.893,5.354,3.364,4.17,0.081,0.081,0.133,0.189,0.11,0.09,43
9.216,8.625,11.533,10.526,4.796,7.595,8.54,18.525,24.237,14.255,10.782,17.731,21.538,4.149,5.482,3.96,2.093,3.634,4.378,0.074,0.125,0.086,0.096,0.09,0.086,44
6.687,8.295,10.106,9.701,1.861,6.343,7.669,20.485,27.751,12.302,5.193,14.4,19.842,4.617,5.455,4.499,0.765,4.039,5.199,0.099,0.153,0.061,0.085,0.087,0.138,46
10.44,10.639,12.159,8.957,8.898,8.184,10.573,16.737,21.577,18.834,17.497,13.503,15.809,3.941,4.937,5.077,4.118,3.653,4.484,0.099,0.133,0.17,0.096,0.107,0.152,47
7.733,5.691,8.553,10.234,6.658,8.196,10.348,18.805,21.295,15.519,11.025,13.097,18.946,5.36,6.284,4.393,3.032,3.621,4.484,0.264,0.239,0.084,0.091,0.121,0.107,51
8.447,9.788,11.309,10.11,10.293,8.211,10.546,13.755,16.062,17.746,19.612,16.465,19.99,4.409,4.384,4.605,4.491,3.632,4.71,0.087,0.075,0.107,0.15,0.131,0.11,52
4.13,9.537,11.449,10.306,9.403,7.51,9.109,20.355,24.218,13.775,13.019,17.631,20.982,4.08,4.428,4.741,3.69,3.14,3.693,0.162,0.156,0.111,0.089,0.125,0.122,53
4.09,7.7,11.138,10.619,9.726,8.614,10.245,19.714,23.353,19.495,22.35,12.503,16.083,4.504,4.997,4.36,4.628,3.652,4.465,0.166,0.098,0.129,0.2,0.072,0.074,54
4.122,9.724,11.083,10.367,9.779,8.523,10.446,19.864,25.543,18.364,19.585,13.163,17.65,3.956,4.552,4.44,4.041,3.632,4.251,0.121,0.168,0.098,0.13,0.12,0.102,55
