A,B.pre,B.anodal,B.cathodal,B.sham,mean_v.pre.true,mean_v.anodal.true,mean_v.cathodal.true,mean_v.sham.true,mean_v_false,t0.pre,t0.anodal,t0.cathodal,t0.sham,subject
1.611,1.906,1.886,2.39,1.471,3.542,4.819,3.566,3.654,-0.165,0.109,0.209,0.125,0.183,1
1.798,1.76,1.326,1.849,1.86,3.172,3.279,4.824,3.027,-0.782,0.072,0.164,0.212,0.081,2
1.314,1.839,1.285,1.668,1.021,3.459,2.753,3.338,3.763,0.349,0.096,0.095,0.173,0.276,3
1.035,2.178,1.121,2.364,1.503,3.252,4.529,3.147,3.417,-0.482,0.11,0.437,0.144,0.201,6
1.131,1.642,2.314,0.791,1.103,3.486,3.077,3.962,3.986,0.272,0.121,0.083,0.309,0.263,7
0.897,1.72,2.069,2.059,1.896,3.318,4.651,3.102,4.486,-1.012,0.14,0.14,0.082,0.221,8
1.194,2.027,2.17,1.576,1.921,3.371,4.63,4.451,3.574,-0.315,0.122,0.133,0.244,0.191,9
0.619,1.741,0.327,1.913,1.768,3.317,2.847,2.936,4.674,-0.762,0.088,0.366,0.078,0.17,10
1.233,1.758,1.233,1.746,2.083,3.366,3.225,3.365,3.452,-0.023,0.125,0.194,0.146,0.111,11
1.224,1.931,2.098,2.019,2.313,3.457,3.774,3.727,3.786,-0.406,0.199,0.137,0.166,0.202,13
1.024,1.952,1.804,0.966,1.96,3.81,4.55,3.697,4.151,-0.787,0.161,0.241,0.283,0.113,14
0.845,1.344,1.361,1.817,1.162,2.589,3.661,2.899,3.215,-0.485,0.11,0.212,0.067,0.25,15
1.102,2.011,2.363,1.462,1.63,3.494,4.242,3.653,4.089,-0.297,0.136,0.166,0.222,0.208,16
1.249,1.369,1.176,1.848,1.269,3.061,4.529,3.176,3.51,0.314,0.108,0.224,0.077,0.12,17
1.172,1.755,1.555,1.34,1.235,3.02,3.757,3.679,2.436,-0.312,0.07,0.197,0.241,0.126,18
1.107,1.893,1.32,2.08,1.663,3.23,3.627,3.023,3.723,-0.245,0.162,0.33,0.115,0.223,19
0.835,1.941,2.077,0.755,2.141,3.558,4.962,3.803,3.526,-1.214,0.117,0.184,0.339,0.118,20
1.147,1.994,2.22,1.88,2.068,3.241,3.455,3.743,5.126,-1.08,0.135,0.099,0.218,0.232,21
1.006,1.455,1.138,1.809,1.509,3.375,3.666,4.796,3.122,-1.635,0.068,0.161,0.09,0.072,22
0.899,1.896,2.139,0.817,1.255,3.505,3.952,3.717,3.398,0.166,0.119,0.171,0.325,0.19,23
1.364,1.71,1.9,1.625,1.826,3.378,4.656,2.698,4.219,-0.743,0.085,0.102,0.112,0.164,24
1.912,1.961,2.366,1.733,1.344,3.403,3.361,4.195,3.819,0.103,0.109,0.117,0.223,0.29,25
1.003,1.94,2.115,1.438,2.061,3.917,5.061,3.983,4.464,-0.038,0.203,0.221,0.29,0.143,26
0.661,1.725,1.192,2.142,1.559,3.794,4.362,3.808,4.954,0.182,0.182,0.289,0.127,0.296,28
1.305,1.992,2.167,1.927,2.266,3.589,3.745,4.927,3.141,-0.38,0.18,0.199,0.298,0.181,29
1.006,1.844,1.719,1.173,1.503,3.458,3.496,4.122,3.753,-0.7,0.088,0.088,0.247,0.252,30
2.141,1.749,1.415,1.761,1.769,3.248,3.276,3.937,3.088,0.059,0.089,0.242,0.163,0.079,31
0.997,2.247,2.414,1.842,1.511,3.63,3.837,3.463,3.91,-0.85,0.155,0.178,0.263,0.34,32
1.561,1.949,2.042,2.274,1.784,3.329,3.735,2.807,3.422,-1.088,0.181,0.187,0.084,0.238,33
1.315,1.661,1.262,1.587,1.663,3.564,3.079,5.026,4.291,-1.517,0.069,0.157,0.16,0.127,34
1.179,1.878,1.978,1.301,1.781,3.586,4.569,2.66,4.331,-0.181,0.099,0.183,0.17,0.184,35
1.507,1.539,1.274,1.23,1.817,3.31,3.455,3.562,3.196,0.027,0.113,0.142,0.164,0.068,36
1.705,2.104,1.645,2.306,1.066,3.456,3.409,3.116,3.886,0.131,0.109,0.167,0.096,0.296,37
1.522,1.641,1.284,0.919,2.059,3.595,4.017,4.067,3.637,0.1,0.138,0.192,0.284,0.074,38
0.76,1.952,2.496,1.864,1.586,3.521,3.462,4.655,4.713,-1.228,0.134,0.107,0.263,0.258,39
1.099,1.835,1.455,1.165,2.226,3.345,4.164,3.924,3.482,0.332,0.11,0.201,0.364,0.113,40
1.173,1.863,1.648,1.195,0.534,3.719,3.314,3.752,3.167,-0.226,0.072,0.16,0.2,0.281,41
0.684,1.742,1.709,1.925,1.72,3.233,4.82,2.798,3.82,-0.68,0.096,0.202,0.099,0.157,42
2.237,2.09,2.164,1.568,1.813,3.398,3.33,4.257,3.493,-1.375,0.127,0.105,0.241,0.122,43
1.572,1.743,1.471,1.684,1.611,3.209,3.972,3.05,4.204,-1.478,0.072,0.219,0.098,0.114,44
0.831,1.46,1.465,1.673,0.987,2.625,4.485,2.239,3.127,-1.089,0.072,0.21,0.063,0.226,46
1.933,1.927,2.153,1.958,2.056,3.342,4.064,3.729,3.167,-0.219,0.144,0.168,0.106,0.188,47
1.488,1.666,0.93,1.98,2.057,3.056,3.381,2.958,3.907,-0.32,0.128,0.33,0.095,0.135,51
1.149,1.81,2.204,1.917,1.879,2.996,2.965,3.654,3.721,-0.781,0.138,0.088,0.194,0.166,52
0.911,1.718,1.933,2.16,1.831,3.428,4.835,3.118,4.802,-0.454,0.139,0.222,0.122,0.178,53
0.631,1.784,1.925,1.652,1.895,3.277,4.208,4.214,3.036,-1.084,0.125,0.129,0.258,0.104,54
0.835,1.853,1.861,1.913,2.016,3.505,4.969,4.242,3.713,-0.73,0.145,0.225,0.184,0.152,55
