A,B.pre,B.anodal,B.cathodal,B.sham,mean_v.pre.true,mean_v.anodal.true,mean_v.cathodal.true,mean_v.sham.true,mean_v_false,t0.pre,t0.anodal,t0.cathodal,t0.sham,subject
1.613,1.9,1.881,2.382,1.471,3.544,4.814,3.56,3.651,-0.169,0.11,0.21,0.126,0.183,1
1.802,1.756,1.324,1.842,1.851,3.174,3.276,4.822,3.023,-0.788,0.072,0.164,0.212,0.082,2
1.315,1.835,1.283,1.668,1.018,3.455,2.749,3.336,3.757,0.345,0.096,0.095,0.173,0.276,3
1.036,2.173,1.124,2.358,1.506,3.248,4.531,3.142,3.422,-0.484,0.11,0.436,0.145,0.201,6
1.125,1.644,2.32,0.791,1.102,3.479,3.077,3.951,3.98,0.27,0.12,0.082,0.309,0.264,7
0.897,1.717,2.068,2.056,1.896,3.316,4.65,3.098,4.491,-1.014,0.14,0.14,0.082,0.221,8
1.192,2.023,2.176,1.568,1.921,3.371,4.629,4.441,3.571,-0.312,0.123,0.132,0.245,0.191,9
0.62,1.737,0.327,1.909,1.767,3.316,2.852,2.933,4.669,-0.769,0.089,0.366,0.078,0.17,10
1.23,1.758,1.233,1.748,2.082,3.362,3.221,3.363,3.447,-0.023,0.125,0.195,0.146,0.11,11
1.226,1.924,2.094,2.017,2.309,3.452,3.773,3.727,3.786,-0.413,0.2,0.137,0.166,0.203,13
1.028,1.952,1.809,0.965,1.958,3.814,4.552,3.706,4.157,-0.788,0.161,0.24,0.284,0.113,14
0.842,1.343,1.355,1.819,1.17,2.586,3.661,2.9,3.218,-0.485,0.11,0.213,0.066,0.248,15
1.104,2.003,2.362,1.461,1.626,3.492,4.246,3.653,4.091,-0.304,0.137,0.167,0.222,0.209,16
1.246,1.366,1.176,1.845,1.265,3.054,4.53,3.174,3.501,0.309,0.109,0.224,0.078,0.12,17
1.172,1.755,1.558,1.347,1.234,3.019,3.751,3.682,2.431,-0.311,0.07,0.196,0.24,0.126,18
1.102,1.89,1.322,2.076,1.666,3.226,3.625,3.019,3.717,-0.247,0.163,0.33,0.116,0.222,19
0.835,1.942,2.077,0.758,2.139,3.559,4.964,3.802,3.524,-1.222,0.117,0.184,0.339,0.118,20
1.148,1.988,2.212,1.885,2.074,3.236,3.447,3.744,5.13,-1.084,0.136,0.1,0.218,0.231,21
1.009,1.456,1.136,1.8,1.506,3.379,3.665,4.787,3.123,-1.643,0.068,0.161,0.091,0.073,22
0.896,1.891,2.134,0.818,1.255,3.499,3.943,3.707,3.396,0.162,0.12,0.172,0.324,0.191,23
1.363,1.708,1.892,1.623,1.834,3.375,4.647,2.699,4.222,-0.744,0.085,0.103,0.114,0.163,24
1.907,1.959,2.363,1.733,1.343,3.4,3.354,4.188,3.814,0.102,0.109,0.117,0.223,0.29,25
1.006,1.94,2.122,1.433,2.061,3.922,5.07,3.981,4.47,-0.04,0.203,0.22,0.291,0.144,26
0.662,1.722,1.186,2.141,1.565,3.797,4.352,3.808,4.969,0.183,0.182,0.289,0.127,0.296,28
1.303,1.994,2.164,1.914,2.266,3.59,3.738,4.917,3.143,-0.383,0.18,0.2,0.299,0.18,29
1,1.849,1.717,1.165,1.507,3.459,3.493,4.104,3.752,-0.71,0.088,0.088,0.248,0.252,30
2.139,1.748,1.417,1.756,1.767,3.246,3.278,3.931,3.086,0.057,0.088,0.242,0.163,0.078,31
0.998,2.237,2.41,1.836,1.503,3.628,3.832,3.461,3.905,-0.854,0.156,0.178,0.265,0.341,32
1.562,1.949,2.047,2.271,1.782,3.328,3.742,2.806,3.423,-1.09,0.18,0.186,0.084,0.239,33
1.315,1.659,1.259,1.588,1.669,3.562,3.074,5.029,4.298,-1.526,0.069,0.157,0.16,0.127,34
1.178,1.878,1.979,1.301,1.776,3.587,4.565,2.661,4.331,-0.178,0.1,0.182,0.17,0.185,35
1.505,1.534,1.268,1.228,1.815,3.306,3.452,3.56,3.192,0.023,0.114,0.143,0.164,0.068,36
1.712,2.096,1.643,2.299,1.059,3.455,3.41,3.115,3.894,0.129,0.11,0.168,0.097,0.298,37
1.527,1.634,1.28,0.922,2.058,3.594,4.017,4.077,3.636,0.101,0.139,0.192,0.284,0.074,38
0.758,1.953,2.499,1.861,1.595,3.523,3.462,4.654,4.724,-1.22,0.134,0.107,0.263,0.257,39
1.1,1.83,1.45,1.164,2.228,3.343,4.163,3.922,3.481,0.329,0.111,0.202,0.364,0.113,40
1.168,1.862,1.651,1.199,0.534,3.715,3.308,3.754,3.161,-0.225,0.072,0.158,0.2,0.281,41
0.682,1.742,1.715,1.931,1.721,3.231,4.828,2.801,3.819,-0.685,0.096,0.201,0.099,0.156,42
2.24,2.089,2.156,1.568,1.813,3.397,3.323,4.255,3.49,-1.377,0.127,0.105,0.24,0.121,43
1.582,1.74,1.469,1.676,1.607,3.211,3.981,3.05,4.207,-1.479,0.072,0.22,0.098,0.115,44
0.833,1.459,1.468,1.676,0.991,2.625,4.494,2.245,3.13,-1.092,0.072,0.21,0.063,0.225,46
1.935,1.929,2.155,1.969,2.058,3.344,4.069,3.733,3.171,-0.214,0.143,0.168,0.104,0.188,47
1.491,1.665,0.921,1.979,2.05,3.057,3.373,2.959,3.907,-0.32,0.128,0.332,0.095,0.136,51
1.155,1.808,2.207,1.921,1.884,2.997,2.972,3.655,3.728,-0.78,0.139,0.088,0.192,0.165,52
0.909,1.716,1.949,2.158,1.84,3.423,4.849,3.111,4.805,-0.453,0.139,0.22,0.122,0.176,53
0.63,1.781,1.922,1.654,1.9,3.269,4.204,4.216,3.04,-1.086,0.125,0.129,0.258,0.104,54
0.838,1.848,1.867,1.909,2.02,3.506,4.974,4.241,3.715,-0.727,0.146,0.224,0.185,0.151,55
