"","s","A","B.pre.anodal","B.dpost.anodal","B.pre.cathodal","B.dpost.cathodal","B.pre.sham","B.dpost.sham","mean_v.pre.anodal.true","mean_v.dpost.anodal.true","mean_v.pre.cathodal.true","mean_v.dpost.cathodal.true","mean_v.pre.sham.true","mean_v.dpost.sham.true","mean_v.pre.anodal.false","mean_v.dpost.anodal.false","mean_v.pre.cathodal.false","mean_v.dpost.cathodal.false","mean_v.pre.sham.false","mean_v.dpost.sham.false","t0","iter","B.change.anodal","B.change.cathodal","B.change.sham","B.change.ancath","B.change.actvsham","B.change.anvsham","B.change.cathvsham","mean_v.pre.anodal.diff","mean_v.pre.cathodal.diff","mean_v.pre.sham.diff","mean_v.dpost.anodal.diff","mean_v.dpost.cathodal.diff","mean_v.dpost.sham.diff","mean_v.pre.anodal.sum","mean_v.pre.cathodal.sum","mean_v.pre.sham.sum","mean_v.dpost.anodal.sum","mean_v.dpost.cathodal.sum","mean_v.dpost.sham.sum","mean_v.change.anodal.diff","mean_v.change.cathodal.diff","mean_v.change.sham.diff","mean_v.change.anodal.sum","mean_v.change.cathodal.sum","mean_v.change.sham.sum","mean_v.change.anodal.true","mean_v.change.cathodal.true","mean_v.change.sham.true","mean_v.change.anodal.false","mean_v.change.cathodal.false","mean_v.change.sham.false","mean_v.change.ancath.diff","mean_v.change.ancath.sum","mean_v.change.ancath.true","mean_v.change.ancath.false","mean_v.change.actvsham.diff","mean_v.change.anvsham.diff","mean_v.change.cathvsham.diff","mean_v.change.actvsham.sum","mean_v.change.anvsham.sum","mean_v.change.cathvsham.sum","mean_v.change.actvsham.true","mean_v.change.anvsham.true","mean_v.change.cathvsham.true","mean_v.change.actvsham.false","mean_v.change.anvsham.false","mean_v.change.cathvsham.false","LH_SkullThickness","RH_SkullThickness","gender","age","taskpairing","Thick_LH_Gyrus_InfOpercular","Thick_LH_Gyrus_InfTriangular","Thick_LH_Gyrus_Front_Middle","Thick_LH_Sulcus_inferior","Thick_LH_Sulcus_middle","Thickness_LH_Sulcus_precentral_inf_part","Thick_RH_Gyrus_InfOpercular","Thick_RH_Gyrus_InfTriangular","Thick_RH_Gyrus_Front_Middle","Thickness_RH_Sulcus_inferior","Thickness_RH_Sulcus_middle","Thickness_RH_Sulcus_precentral.inf.part"
"1",1,1.73032132156156,1.66540950820057,2.09045917361795,1.84962090730757,1.97401925919498,1.48297817693307,1.6201475503119,4.00864205610602,5.0156159331195,3.54374490050545,3.37229839906732,3.71508236928991,3.93643625655747,-0.345683129507079,0.202626672493834,-0.289436240659036,-0.904469850674775,-0.180092899928538,0.273533087867382,0.178964930045915,500.5,0.425049665417374,0.124398351887407,0.137169373378827,0.274724008652391,0.137554635273564,0.287880292038547,-0.0127710214914198,4.3543251856131,3.54374490050545,3.89517526921845,4.81298926062567,4.2767682497421,3.66290316869009,3.66295892659894,3.25430865984641,3.53498946936137,5.21824260561333,2.46782854839255,4.20996934442486,0.458664075012568,0.73302334923665,-0.23227210052836,1.55528367901439,-0.497043870794829,0.674979875063481,1.00697387701348,0.11798973922091,0.221353887267561,0.548309802000913,-0.61503361001574,0.453625987795921,0.595843712124609,0.529119904109782,0.562481808117196,-0.0333619040074133,0.828115812652969,0.690936175540928,0.96529544976501,-0.145859970953699,0.880303803950913,-1.17202374585831,0.341127920849635,0.78561998974592,-0.10336414804665,-0.486987891803334,0.0946838142049924,-0.38276150948738,2,2,1,25,1,2.775,2.501,2.44,2.215,2.103,2.419,3.008,2.441,2.298,2.206,1.922,2.515
"2",2,2.04476441381025,1.57270151016608,1.71403175934963,1.72068936459896,2.31871844429964,1.6678230234041,1.65484479887291,3.34292202663225,3.6927408610296,3.94846847304898,5.00869011682641,2.92338354434729,3.03920914392777,-0.89450364835137,-0.0807173972976726,-0.105348748074968,-1.00025247114397,-0.948000236831334,-1.27098338240816,0.112498427308349,500.5,0.141330249183551,0.598029079700678,-0.0129782245311884,0.369679664442114,0.382657888973303,0.154308473714739,0.611007304231867,4.23742567498362,3.94846847304898,3.87138378117862,3.77345825832727,6.00894258797038,4.31019252633593,2.44841837828088,3.84311972497401,1.97538330751595,3.61202346373192,4.00843764568244,1.76822576151961,-0.463967416656352,2.0604741149214,0.438808745157306,1.16360508545104,0.270666668783395,-0.207157545996342,0.349818834397345,1.1655703918524,0.115825599580482,0.813786251053697,-0.894903723069001,-0.322983145576824,0.798253349132523,0.717135877117219,0.757694613124871,-0.0405587360076519,0.359444603975216,-0.902776161813658,1.62166536976409,0.924293423113561,1.37076263144738,0.477824214779738,0.641869013544389,0.233993234816863,1.04974479227191,0.282424409569172,1.13676939663052,-1.33371246822631,1.666666667,2.333333333,1,30,2,3.089,2.831,2.687,2.227,2.433,2.566,2.95,2.846,2.752,2.255,2.15,2.479
"3",3,1.3500317543237,1.57080216029852,1.21441427245451,1.87860656734887,1.80832484512982,1.72934045996725,1.82438633841861,3.60734836983807,2.83734962445248,3.91791905878528,3.37747271314279,3.66403860383231,4.21041422292179,0.646644044673389,0.406591744073946,-0.60125267643738,0.352199444937063,0.522895482339034,1.21445293521227,0.134352382752935,500.5,-0.35638788784401,-0.0702817222190484,0.0950458784513612,-0.213334805031529,-0.308380683482891,-0.451433766295371,-0.16532760067041,2.96070432516468,3.91791905878528,3.14114312149328,2.43075788037853,3.02527326820572,2.99596128770952,4.25399241451146,3.3166663823479,4.18693408617135,3.24394136852643,3.72967215807985,5.42486715813407,-0.529946444786145,-0.892645790579558,-0.14518183378376,-1.01005104598503,1.01425845216933,1.23793307196272,-0.769998745385587,0.0608063307948844,0.546375619089481,-0.240052300599443,0.953452121374443,0.69155745287324,-0.711296117682852,0.0021037030921485,-0.354596207295352,0.3566999103875,-0.566114283899092,-0.384764611002385,-0.747463956795799,-1.23582936887057,-2.24798411794775,-0.223674619793394,-0.900971826384832,-1.31637436447507,-0.485569288294596,-0.33485754248574,-0.931609753472683,1.0986339551582,2,1.666666667,2,19,3,2.999,2.853,2.697,2.486,2.315,2.638,2.964,2.754,2.788,2.395,2.384,2.558
"4",6,1.33065721322929,1.85474869729512,2.29654850916291,1.79263753336206,1.91388039102814,1.47410090455849,1.49307801269539,4.17348373277428,5.15223591047692,3.68166533412759,3.09508859573741,3.16139860601929,3.79578758763375,-0.134571077976195,0.747426206788947,-0.947166380784,-0.737209580408107,-1.06679238759237,-0.00873223081161682,0.225556118524622,500.5,0.441799811867791,0.121242857666075,0.0189771081368983,0.281521334766933,0.262544226630035,0.422822703730893,0.102265749529177,4.30805481075048,3.68166533412759,4.22819099361165,4.40480970368798,3.83229817614552,3.80451981844536,4.03891265479808,2.73449895334359,2.09460621842692,5.89966211726587,2.35787901532931,3.78705535682213,0.0967548929375009,0.150632842017932,-0.42367117516629,1.86074946246779,0.570546442769719,1.69244913839521,0.978752177702643,0.360589642393826,0.634388981614458,0.881997284765142,0.209956800375894,1.05806015678075,0.123693867477716,1.21564795261875,0.669670910048234,0.545977042570518,0.547365042644007,0.520426068103791,0.574304017184222,-0.476801185776454,0.16830032407258,-1.12190269562549,0.0352819284337765,0.344363196088185,-0.273799339220632,-0.51208311421023,-0.176062872015606,0.633627975542184,2,1.666666667,1,26,1,3.082,2.872,2.508,2.386,2.54,2.559,2.989,2.543,2.369,2.151,1.99,2.536
"5",7,1.16549431933041,1.5583660102059,1.7201996947927,1.77059597590703,1.75845832217768,1.42040491107232,1.7470040787182,2.96906828449861,2.73864284333553,3.29378979604874,4.80537860803561,3.91463599139933,4.50253365290126,-0.339389066113538,-0.454652005211143,1.12184752474643,1.63790470245815,0.610707897658408,1.15961977602268,0.170387036892209,500.5,0.161833684586794,-0.0121376537293452,0.326599167645875,0.0748480154287245,-0.25175115221715,-0.164765483059081,-0.33873682137522,3.30845735061215,3.29378979604874,3.30392809374092,3.19329484854668,3.16747390557746,3.34291387687858,2.62967921838507,4.41563732079517,4.52534388905774,2.28399083812439,6.44328331049377,5.66215342892394,-0.115162502065469,-0.126315890471285,0.0389857831376578,-0.34568838026068,0.90579846495216,1.1368095398662,-0.230425441163075,0.389741287240437,0.587897661501927,-0.115262939097605,0.516057177711723,0.54891187836427,-0.120739196268377,0.28005504234574,0.0796579230386812,0.200397119307059,-0.159724979406035,-0.154148285203127,-0.165301673608943,-0.856754497520457,-1.48249792012688,-0.231011074914037,-0.508239738463246,-0.818323102665002,-0.19815637426149,-0.348514759057211,-0.664174817461875,0.477071394574065,2,1.666666667,2,20,3,2.701,2.318,2.437,2.279,2.166,2.673,2.826,2.533,2.379,2.251,2.15,2.508
"6",8,1.09259752086882,1.82061648342724,1.95853949940191,1.5624376416869,1.63013636430775,1.86281321852942,2.21309501217672,4.01706350126959,4.79995413169426,3.45170679140668,2.97859498888529,4.09938880632042,4.69976230077962,-1.66321811053698,-0.824049191593816,-0.687877307615708,-1.56351230548916,-0.926836839286483,-1.15377682927214,0.158380995417619,500.5,0.13792301597467,0.0676987226208542,0.350281793647306,0.102810869297762,-0.247470924349544,-0.212358777672636,-0.282583071026452,5.68028161180657,3.45170679140668,5.02622564560691,5.62400332328808,4.54210729437445,5.85353913005176,2.35384539073261,2.76382948379097,3.17255196703394,3.97590494010045,1.41508268339612,3.54598547150748,-0.0562782885184869,1.09040050296777,0.82731348444485,1.62205954936784,-0.660869492779139,0.373433504473545,0.782890630424676,0.214765505094317,0.600373494459197,0.839168918943163,-0.875634997873456,-0.226939989985653,0.517061107224643,0.48059502829435,0.498828067759497,-0.0182330394651463,-0.310252377220207,-0.883591772963337,0.263087018522923,0.107161523820806,1.24862604489429,-1.03430299725268,-0.101545426699701,0.182517135965479,-0.38560798936488,0.208706950520506,1.06610890892882,-1.70294848231831,2,2.333333333,1,22,1,2.804,2.497,2.418,2.249,2.221,2.657,2.879,2.387,2.271,2.189,2.129,2.683
"7",9,1.29267202760314,1.58917688410484,1.78829077968715,1.7905791987108,2.00247711715621,2.12062905131895,1.89405858547522,3.31558752063166,4.55944592388739,4.06270026879384,4.90024108369631,3.19339974924941,3.61281637137789,-0.432938925373804,-1.13213597976653,-0.0487376541202704,0.579836857309806,-0.627330411679668,-0.348623934071143,0.191663066152473,500.5,0.199113895582311,0.211897918445419,-0.226570465843722,0.205505907013865,0.432076372857587,0.425684361426033,0.438468384289141,3.74852644600547,4.06270026879384,3.82073016092908,5.69158190365392,4.32040422638651,3.96144030544903,2.88264859525786,4.01396261467356,2.56606933756974,3.42730994412086,5.48007794100612,3.26419243730675,1.94305545764845,0.257703957592672,0.140710144519954,0.544661348863001,1.51485298045282,0.698123099737005,1.24385840325573,0.886278469022748,0.419416622128479,-0.699197054392726,0.628574511430076,0.278706477608525,1.10037970762056,1.02975716465791,1.06506843613924,-0.0353112714813249,0.959669563100609,1.8023453131285,0.116993813072718,0.331634064920908,-0.153461750874003,0.816729880715819,0.645651814010758,0.824441781127248,0.466861846894269,-0.31401774908985,-0.977903532001251,0.487864366910122,1.666666667,2,2,22,2,2.773,2.42,2.666,2.25,2.089,2.465,2.871,2.544,2.647,2.089,2.197,2.494
"8",10,0.691397980983361,1.73918591725282,1.71225105994552,1.69551174619936,1.58701221286048,1.57248848497175,2.01186942779295,3.96897338737292,4.3570971921325,3.75485189853609,2.77658269279409,3.87635975942805,4.90821447828697,-0.0988424675010745,1.85005580838594,-0.959127183804403,-1.25909441025538,-1.09558969109097,-1.0685069360078,0.134535090010515,500.5,-0.0269348573072956,-0.108499533338877,0.439380942821194,-0.0677171953230864,-0.50709813814428,-0.466315800128489,-0.547880476160071,4.06781585487399,3.75485189853609,4.97194945051902,2.50704138374656,4.03567710304947,5.97672141429477,3.87013091987184,2.79572471473168,2.78077006833708,6.20715300051844,1.5174882825387,3.83970754227917,-1.56077447112744,0.280825204513386,1.00477196377575,2.3370220806466,-0.319109248388576,1.05893747394209,0.38812380475958,-0.0191420219375949,1.03185471885892,1.94889827588702,-0.299967226450981,0.0270827550831692,-0.639974633307025,1.00895641612901,0.184490891410993,0.824465524718017,-1.64474659708278,-2.56554643490319,-0.723946759262366,-0.049981057813081,1.27808460670451,-1.37804672233067,-0.847363827447929,-0.643730914099341,-1.05099674079652,0.797382769634848,1.92181552080385,-1.30473919022673,1.666666667,1.666666667,1,18,1,3.047,2.811,2.672,2.372,2.291,2.788,2.945,2.741,2.498,2.336,2.198,2.518
"9",11,1.2785495967372,1.63770727861015,1.6529414015261,1.75999992006979,1.77298200386546,1.85557609849657,1.82077246344329,3.53929773578146,3.63659410786929,3.77060411477579,3.4063376726157,3.43404214898498,3.28908051483967,0.661986178961018,0.584346837454844,-0.336916103534109,-0.0320242368867772,-1.15247482255114,-0.542246192382345,0.141139427135198,500.5,0.015234122915954,0.0129820837956629,-0.0348036350532755,0.0141081033558084,0.048911738409084,0.0500377579692295,0.0477857188489384,2.87731155682044,3.77060411477579,4.58651697153612,3.05224727041444,3.43836190950248,3.83132670722202,4.20128391474248,3.43368801124169,2.28156732643383,4.22094094532413,3.37431343572893,2.74683432245733,0.174935713593997,-0.332242205273312,-0.755190264314107,0.0196570305816503,0.277541528021351,0.465266996023494,0.0972963720878236,-0.0273503386259806,-0.144961634145306,-0.0776393415061733,0.304891866647332,0.6102286301688,-0.0786532458396578,0.148599279301501,0.0349730167309215,0.113626262570579,0.676537018474449,0.930125977908104,0.422948059040794,-0.316667716721993,-0.445609965441844,-0.187725468002143,0.179934650876228,0.24225800623313,0.117611295519326,-0.496602367598221,-0.687867971674974,1.06008213096144,2,1.666666667,2,27,2,3.062,3.035,2.714,2.375,2.254,2.614,2.95,2.9,2.709,2.281,2.308,2.829
"10",13,1.30016137423353,1.70115258061241,1.61902208032436,1.82758252179135,1.7019840588017,2.19372099576554,2.06859921760017,3.36654806040104,3.63506386510899,4.13574797637933,3.65368777084036,3.53047400309604,3.64708803115821,-0.382218876325112,-1.05369626918782,-0.229821015258405,-0.930258510027511,-0.0198673586997751,-1.15045609307733,0.226250613482191,500.5,-0.0821305002880477,-0.125598462989646,-0.12512177816537,-0.103864481638847,0.0212572965265228,0.0429912778773218,-0.000476684824276159,3.74876693672615,4.13574797637933,3.55034136179581,4.6887601342968,4.58394628086787,4.79754412423554,2.98432918407593,3.90592696112093,3.51060664439626,2.58136759592117,2.72342926081285,2.49663193808088,0.939993197570649,0.44819830448854,1.24720276243973,-0.402961588154758,-0.952676685049673,-1.01397470631539,0.268515804707945,-0.252239190280567,0.11661402806217,-0.671477392862703,-0.700437494769106,-1.13058873437756,0.694095751029594,-0.677819136602215,0.00813830721368944,-0.685957443815905,-0.553107011410133,-0.307209564869079,-0.799004457951188,0.336155569713171,0.611013118160629,0.0612980212657142,-0.108475720848481,0.151901776645775,-0.368853218342737,0.444631290561652,0.459111341514854,-1.94764025720883,1.333333333,1.333333333,1,19,2,3.133,3.016,2.735,2.319,2.314,2.692,2.983,2.983,2.721,2.373,2.325,2.681
